original	new
Gaymuthafuckinwhore	Gaymuhtafuckinwhore
gaymuthafuckinwhore	gaymuthafuckinwhroe
Goddamnmuthafucker	Goddamnmuthaufcker
goddamnmuthafucker	ogddamnmuthafucker
mattressprincess	mattressprinecss
Mattressprincess	Mattresspricness
spaghettibender	spagehttibender
spaghettinigger	spahgettinigger
Spaghettibender	pSaghettibender
devilworshipper	edvilworshipper
niggardliness's	niggardlienss's
Spaghettinigger	Sapghettinigger
Devilworshipper	Dveilworshipper
Niggardliness's	Niggardlines'ss
Motherfuckings	Motehrfuckings
Poorwhitetrash	Poorwhiettrash
spankthemonkey	spanktehmonkey
smackthemonkey	smackthemoneky
purinapricness	purinarpicness
Motherlovebone	Motherloevbone
Luckycammeltoe	Luckcyammeltoe
Purinapricness	Purinaprciness
motherfuckings	motherfukcings
motherlovebone	motherolvebone
Spankthemonkey	Spankhtemonkey
poorwhitetrash	poorwhitterash
Smackthemonkey	Smcakthemonkey
luckycammeltoe	luckycammetloe
Alligatorbait	Alligatobrait
jacktheripper	jackthreipper
Tongethruster	Tongethurster
Carpetmuncher	Carpetumncher
shitforbrains	shitforbraisn
fingerfucking	fingerfcuking
Motherfucking	Motherfucknig
pooperscooper	opoperscooper
Masterblaster	Masterblasetr
dickforbrains	dickforbrians
Jacktheripper	Jackthreipper
Fingerfuckers	Fingerfuckres
fingerfuckers	fingerfuckesr
Pooperscooper	Pooprescooper
Fingerfucking	Fingerfucknig
niggardliness	niggadrliness
carpetmuncher	carpetmucnher
virginbreaker	virgnibreaker
Shitforbrains	Shtiforbrains
pearlnecklace	eparlnecklace
Virginbreaker	Vriginbreaker
Assassination	Assasisnation
shitoutofluck	shitoutoflukc
Niggardliness	Niggardlniess
assassination	sasassination
tongethruster	tongethurster
Mothafuckings	Mohtafuckings
mothafuckings	mtohafuckings
Shitoutofluck	Shitouotfluck
masterblaster	masterbalster
alligatorbait	alligtaorbait
Dickforbrains	Dikcforbrains
motherfucking	motherfuckign
Pearlnecklace	Pearlneclkace
Pussypounder	Pussyopunder
Heterosexual	Hetersoexual
transvestite	transvsetite
freakyfucker	freaykfucker
Conservative	Consrevative
masturbating	masturbatnig
Fingerfucked	Fignerfucked
motherfucker	mothefrucker
Transvestite	Transvesttie
Pornprincess	Ponrprincess
pussypounder	pussypuonder
pornprincess	oprnprincess
Cherrypopper	hCerrypopper
motherfucked	mohterfucked
Mothafucking	Mothafucikng
grostulation	grsotulation
Goldenshower	Godlenshower
fingerfucker	ifngerfucker
Fuckingbitch	Fuckignbitch
Titbitnipply	Titbitniplpy
crotchmonkey	rcotchmonkey
tunneloflove	tunnelofloev
Timbernigger	Timbernigegr
Spermhearder	Spermeharder
Motherfuckin	Motherfuckni
crotchjockey	crotchjockye
Trailertrash	Tarilertrash
Motherfucker	Mothrefucker
Motherfucked	Mohterfucked
williewanker	wliliewanker
Fingerfucker	Fignerfucker
fingerfucked	fingerfukced
trailertrash	trailertrsah
Tunneloflove	Tunnelfolove
tonguethrust	tonguethrsut
motherfuckin	mothefruckin
Masturbating	Mastrubating
Crotchmonkey	Crocthmonkey
butt-fuckers	butt-fucekrs
mothafucking	mothafuckign
goldenshower	goldensohwer
stupidfucker	sutpidfucker
Freakyfucker	Freakyfuckre
Stupidfucker	Stuipdfucker
Lezbefriends	Lezberfiends
athletesfoot	athletesfoot
Williewanker	iWlliewanker
timbernigger	itmbernigger
spermhearder	spermhaerder
fuckingbitch	fuckignbitch
Athletesfoot	tAhletesfoot
nofuckingway	nofuckingwya
cherrypopper	chrerypopper
Crotchjockey	Crotcjhockey
beatyourmeat	beatyouremat
titbitnipply	titbitnipply
heterosexual	heterosexaul
Butt-fuckers	Butt-fuckers
lezbefriends	lezbferiends
Beatyourmeat	Beaytourmeat
Nofuckingway	Nofukcingway
Tonguethrust	Tonguetrhust
Grostulation	Grostultaion
conservative	conservaitve
crack-whore	carck-whore
sonofabitch	sonofabicth
Mothafuckaz	Mothafucakz
Shithappens	Shithappnes
doggiestyle	doggisetyle
Junglebunny	Junglebunyn
cuntlicking	cutnlicking
Intercourse	Intercuorse
Twobitwhore	Twoibtwhore
Fudgepacker	Fudgepacekr
tonguetramp	otnguetramp
pussyfucker	pussyfukcer
homobangers	homobangesr
