	text	labels	predicted	cross_predicted
5	Boris Johnson faces Supreme Court bid to make him stand trial for ‘lying and misleading’ in Brexit campaign https://www.independent.co.uk/news/uk/crime/boris-johnson-brexit-supreme-court-vote-leave-nhs-bus-trial-appeal-a9029506.html …	0	1	0
6	What about a refund for not serving Halala to Muslims and regularly adding Onions to Jain food !! Does Food not carries a religion here ??	0	1	0
21	For ur kind information 'halala' is not Islamic. So stop spreading misinformation. Also u don't know anything about 'talaq' so just shut up about that.   P.S. #tripletalaq and 'talaq' in Islam r not the same.  Go get ur facts right  #TripleTalaqBill	0	1	0
22	Go write it on the side of a bus.	0	1	0
26	Kolkata Muslims write to Mamata Banerjee: Don’t let culprits who attacked doctors and Ushoshie get away just because they are Muslims  	0	1	0
27	#RemainBacklash  #brexit #brexitshambles #Brexiteers #ukip #StopBrexit #leave #FBPE  #DespiteBrexit #cleanbrexit #BrexitBritain #EU #StandUp4Brexit    #PeoplesVoteMarch #PeoplesVote #FBPE  #RevokeArticle50	0	1	0
35	SF campaigned on an abstentionist policy. Those now calling for them to take their seats are asking them to renege on promises made to their electorate. Would YOU swear allegiance to a foreign monarch? I dislike SF, but this mess is not of their making. 	0	1	0
36	Please, you have it in your power to bring down the British Government.  For all our sakes support a no confidence vote. Thanks	0	1	0
39	So Many Hindus Arrested.... HINDUS ARE...WHAT THE FUCK MAN..I m angry now #SaveBengal Sali mamata	1	0	1
41	Swiggy be crying in the kitchen rn    #Zomato	0	1	0
43	Watch “Dr. Qanta Ahmed: Rep. Omar is a disgrace to Islam” on YouTube http://youtube.com/watch?v=4o-RL7yqV6Y&feature=youtu.be …	1	0	1
57	2/10 Talk about becoming that which they hate, i.e. both Islam and 'western ideas'. Totally ludicrous and an utter disgrace to the semi-secular philosophical treasures that India has given to the world for millennia.	0	1	0
61	Ye hain 'Bankey Bihari' , ye 19 July ko hi bhartee huay hain TROLL ARMY mein ....  Inki bhasha dekhiye , Maa baap se bhi ye shayad aise hi baat karta hoga ..  Kaash ye shakha ki jaga school gaya hota !  May Maa Durga ease his pain of not achieving anything except TROLLSHIP in life !	0	1	0
83	whenever I said about modi ji  bhakts be like  #boycottzomato   #Zomato   #IStandWithAmit (iss pappu koi pata batayega jisne ye amit wala trend start kiya?)  #CCDMemories	0	1	0
97	@PMOIndia @narendramodi I think she's right... Need to ban Sharia law which is the root of all evils in Islam like halala, multiple marriages, no control on child birth etc etc.     Need to implement #UniformCivilCode   #OneLawForAll #BanShariaLaw	0	1	0
100	'sometime crocodiles comes to Indian parliament  and shed tears in the name of Muslims' said  Comrade Binoy Viswam while speaking on Triple Talaq Bill in Rajya Sabha    #BinoyViswam #RajyaSabha #TripleTalaqBill     @svaradarajan @jainendrakumar @scroll_in @CMOKerala @AJEnglish	0	1	0
109	Boris what happened to your public entrances? Not avoiding anything now are you?	0	1	0
123	#ParisAttacks #refugeesarewelcome Women's bible site:Will Islam take over Europe or will Muslims gradually integrate http://bit.ly/SesVJ7 	0	1	0
142	So you’re going to bribe the DUP?	0	1	0
156	You can either be Muslim, Christian, Jew OR Gay.	0	1	0
169	How is wanting the backstop bullying? Also, the whole point of the backstop is because if you wait till no deal, it nullifies the Good Friday agreement.    You do realise that the Backstop is not in the EUs interests as it undermines their custom union. Its there to protect Ireland	0	1	0
171	And yet you've thrown it under the proverbial bus.	0	1	0
172	Sometimes they try but end up looking even more stupid.  It's all about finances. You cannot say no to more than 60% of the revenue. 	1	0	1
176	What a strong claim mam and without giving any reference of Quran or Hadith. With due respect mam the way u hv objectified a woman is a disgrace to rights given to a woman in Islam.   U really need to reconstruct ur empire of knowledge.  Best wishes...!!!  @psiatif @KaiserRashid19	1	0	1
179	Next will you get your Halala done just to prove your point. 	0	1	0
184	@Zomato if food doesn't have a religion then what is this? #Zomato 	0	1	0
186	Nearly enough to replace those you got rid of over the last 9 years, when you've trained them (2 yrs), if brexit leaves you enough money to pay for it.	0	1	0
205	It is easier to live with pain and sorrow rather than living with disgrace......	0	1	0
215	Boris Johnson promises to make Britain ‘greatest country on earth’ as he... https://youtu.be/STLNxFnIhTs  via @YouTube    The Sovereignty of Nation States defies UN collectivization of the planet.  Individuals are not ready to be transferred to a Gulag, Canada included.	0	1	0
221	Mamata & Naidu   Ye dono Election k pahle zarurat se jayda uchal rahe the    Election k baad ED-CBI Dono ko Olympic Long Jump karwa Rahi hai	0	1	0
222	Wow u jumped in as joker...do u think u can dictate things. If u want to be real secular then stop writing Halala on food and then say 'food has no religion'..  Don't push ur world view on all of us	0	1	0
225	I'm also part indian and I for one would rather just end islam so nobody needs to be a slave. I'm never happy when evil is brought upon mankind. Unlike you. Which is why I bait and make fun of you and people like you. You're a disgrace to humanity if you're happy for enslavement	1	0	1
235	Pork to Muslims is same as non veg to vegetarians bro..  Choice of food as per its type nd choice of delevery person as per his race caste religion sex are two different domain of classification.  Former one is a catagory while the later one is a discrimination. 	0	1	0
239	Agree with your latter points completely, but I don't think he likes negative attention, too much of an egotist.	1	0	1
254	English aati hai beta, to isko padho !	0	1	0
259	I just can’t with this job sometimes. #FamiliesBelongTogether  #michaelavenatti #washingtondc #dc #impeachtrump #whitehouse #washingtondc #dc #25thamendment #25thamendmentnow #impeach #resist #familiesbelongtogether #vote #nomuslimban #nomuslimbanever #keepfamiliestogether #bluew	0	1	0
268	musalman pura pagla gaye hain.....waise bhi munafiq hi hote hain  shameful and heart breaking.....no probs in muslim jewish or muslim alien same sex marriage.....but sensible self-respecting musalmans shouldn't have hindu friends let alone spouses......	0	1	0
270	TOLD YA SO! Despite widespread accusations of 'Islamophobia' for his anti-burqa related remarks, as mayor of London, Boris Johnson bent over backwards to pander to Muslims https://barenakedislam.com/2019/07/31/told-ya-so-despite-widespread-accusations-of-islamophobia-for-his-anti-burqa-related-remarks-as-mayor-of-london-boris-johnson-bent-over-backwards-to-pander-to-muslims/ … via @barenakedislam	0	1	0
297	You stand by Zomato because it was a Hindu-related case. Let us see you stand by them when a Muslim will have some problem with them. 	0	1	0
299	Doctor lynched to death by 200 muslims recorded on camera, Mamata Banerji clinging to C.M.chair shamelessly.	1	0	1
300	dear dr aishwarya   i would like to rectify you religion is a great philoshopy which teaches a person way to live your life...... muslim is not a religion its just something scribled in a book by some egoistic sex addict maniac in a book so called as quran	1	0	1
302	Mamata @MamataOfficial has create situation in Bengal where doctors are attacked & killed by Rohingyas & illegal immigrants from Bangladesh. If center does not stop this in Bengal it will become another Kashmir. Arey @MamataOfficial tum pagal ho gaye. Regards, Sanghi	0	1	0
305	Former Vice President of Aligarh Muslim University Students' Union (AMUSU) Hamza Sufiyan rusticated for 5 years for allegedly storming office of the Vice Chancellor with armed outsiders and debarred students.    #AMU  #AMUSU	0	1	0
325	#IStandWithAmit  Food has no religion unless it is  1.#Halal   2. #Halala	0	1	0
333	Free Sex Right to Muslim Women with 72 Bachelors pic.twitter.com/Nmr5Ks75vd	0	1	0
335	There was no Muslim in my class from school till the end of uni.  At work, there were many Muslim guys, few of them even used to drink. Finally found one hijabi colleague (our teams were different still yay) but she resigned soon for marriage.  So anybody wants to be my friend?  	0	1	0
340	That is why Islam makes it compulsory fir women to get education ( both religious nd wordly)    why should thst women agree to do halala to get back to man who didn't respect her	0	1	0
341	It not like that chanting Allah by Muslim man will make chicken more pure or not doing so make it unpure or by touching food by Muslim guy will make food  non pure .But these are religious beliefs n if u respect one religion believes u should also respects others.	0	1	0
