	text	labels	predicted	cross_predicted
0	West Bengal Doctor Crisis: Protesting doctors agree to meet Mamata Banerjee in presence of full media even as IMA goes on strike  	0	0	0
1	68.5 million people have been forced to leave their homes.      Read more: https://wef.ch/2YQcwpk  #refugees #society	0	0	0
2	You came, you saw .... we will look after the fort! Good luck! 	0	0	0
3	We'll get Brexit delivered by October 31st.    Help build the movement that will do it  http://conservatives.com/join     #BackBoris @BorisJohnson	0	0	0
7	General election, DUP dumped out, Tory power weakened. The only way out	0	0	0
14	Bengal doctors crisis: A state which has pulled out of Ayushman Bharat, the poor are the worst affected of Mamata’s apathy    	0	0	0
15	John is one of our top Councillors and We thank you John and appreciate your hard Work..	0	0	0
18	Kathy Zhu, a supporter of President Trump, was stripped of her title because of comments about African-Americans and Muslims.	0	0	0
28	We love you Zomato...kudos to your reply #iStandWithZomato	0	0	0
29	I do not think the British people will take being lied to again. Can Nigel Farage see into the future I was saying give him a chance Nigel but I do not like the rumours I am hearing today and I hope it is not true.	0	0	0
30	Some Democratic presidential candidates have committed to end Trump's Muslim Ban on day one of their presidency – but all of the candidates need to do the same.    We call on every participant in this week's #DemDebate to join them. #RepealTheBan	0	0	0
32	No Good Friday agreement, no deals with Trump.	0	0	0
33	Today’s the day!  See you at Belmore Park at 2pm for some great speakers.    The stage will be at the Hay St side of Belmore Park.  We’ll march to Victoria Park along Broadway.   #auspol #BringThemHere #RefugeesAreWelcome 	0	0	0
34	Have a word with Corbyn if U get a chance. If he had opposed Brexit the whole thing would probably have failed and been history by now. He has allowed the tories to stay in power and keep going with this nonsense	0	0	0
37	Karyakartas of ABVP Assam protested against the tyrannical rule of Mamata Banerjee where even doctors are not safe!     ABVP strongly condemns the attack on junior doctors in NRS College, Kolkata. We demand that perpetrators should be held and doctors should be served justice. 	0	0	0
40	Ten years ago Nick Griffin appeared on #bbcqt, causing a furore. He was duly taken apart by other guests.  Now the BBC routinely features fawning interviews with far-right scumbags such as Steve Bannon, who wants to train an army of disciples to disrupt the West.  Get a grip, BBC.	0	0	0
49	#familiesbelongtogether is now trending in #SF    https://www.trendsmap.com/r/US_SAN_qryknh   #michaelavenatti #washingtondc #dc #impeachtrump #whitehouse #washingtondc #dc #25thamendment #25thamendmentnow #impeach #resist #familiesbelongtogether #vote #nomuslimban #nomuslimbanever #keepfamiliest	0	0	0
50	Yes! Boris is only doing what was agreed v early on, a transition period if a deal is struck, is just common sense and was approved all round back in the long lost days of 2017.     Having a good Deal, but still wanting to leave next day, simply isn't necessary or practical.	0	0	0
58	Nyasa Times - Some Malawi activists pen ICC over HRDC, opposition ‘crimes against humanity’ http://tinyurl.com/y35nokdy 	0	0	0
59	I've no problem with the EU27 fully federalising. It's what I always expected to happen, I just want to make sure my country isn't part of it.	0	0	0
62	Hi @BorisJohnson — as a @GlblCtzn I stand in solidarity with the world's poorest people and want you to do the same in @10DowningStreet. Please continue to protect #UKaid, ensuring it's delivered with the primary goal of ending extreme poverty, and through an independent @DFID_UK	0	0	0
64	Thank you persist! We all need to be together we all need to keep the love flowing we all need to be in this together because in numbers we can fight and win our country back. We need love not hate.  #fucktrump #VoteBlueToSaveAmerica	0	0	0
65	TMC facilated Bagla Film Atrist are about to save Political future of Mamata Banerji. Shame on them.	0	0	0
68	It speaks for me  When we act Justly  And we Walk Humbly #refugeesarewelcome #asylumseekerswelcome	0	0	0
69	'Fundementally essential' might be more positive than 'Huge importance'?	0	0	0
70	Mamata Banerji to People chanting 'Jai Shri Ram' : 	0	0	0
77	Love Is Love: This Dreamy Photoshoot Of Same Sex Hindu-Muslim Couple Goes Viral https://www.indiatimes.com/trending/human-interest/this-dreamy-photoshoot-of-same-sex-hindu-muslim-couple-is-proof-that-there-are-no-t-cs-in-love-372499.html … via @indiatimes love is beautiful in all forms, very refreshing and natural pics.	0	0	0
81	'Time for all of us to stand together, to face this Tory belligerence down' @MaryLouMcDonald  	0	0	0
88	Leave with no deal to reset the negotiations	0	0	0
89	Need to be cognizant that the Tory Poshboys are under severe pressure from English Nationalists.    Can't take them fruitcakes for granted either.	0	0	0
92	No continued CU/SM after Oct 31st; honour the referendum result, or kiss goodbye to your premiership.	0	0	0
93	West Bengal: State Health Department bus carrying representatives of doctors scheduled to meet CM Mamata Banerjee in Nabanna, today. 	0	0	0
94	Poor bhajji  .  .  .  #worldcup #ipl #cricket #cwc #viratkohli #india #icc #indiancricketteam #rohitsharma #msdhoni #teamindia #dhoni #pakistan #virat  #bhfyp #tilltoss	0	0	0
95	Today's open letter on 'intolerance' by 49 intellectuals to Modi ji has heavy representation from the so called Bengali Bhadralok.    Read my post to know more about the Bengali Bhadralok and how comical they are. And why you can only laugh at them.	0	0	0
96	One of my class mate was.... I didn't doubt on their loyalty... But i am against the basic consept & foreign involvement in their religion  It is just to disgrace islam	0	0	0
98	Wise statement today about Northern Ireland by Boris Johnson. A revised Better Monday Agreement could replace Good Friday Agreement. Renegotiation with Ireland would keep peace. After Brexit, Ireland would have 26 countries backing for back stop. Negotiation is the only solution.	0	0	0
99	On our way to El Paso #FamiliesBelongTogether  #michaelavenatti #washingtondc #dc #impeachtrump #whitehouse #washingtondc #dc #25thamendment #25thamendmentnow #impeach #resist #familiesbelongtogether #vote #nomuslimban #nomuslimbanever #keepfamiliestogether #bluewave #enough #eno	0	0	0
101	DANKE #AlanKurdi   #refugeesarewelcome   #Nazisarenotwelcome	0	0	0
102	1 hr and 40 mins in, @BetoORourke is the first candidate to mention the Muslim and refugee travel bans. 'We don't just tolerate and respect our differences, but we embrace them.' #NoMuslimBanEver #RepealTheBan	0	0	0
103	Mahendra Singh Dhoni is very cool men	0	0	0
107	Dhoni captained 9-10 ICC Tournaments and Won 3. Virat has captained in only 2 and reached Finals and Semis. Calm down.	0	0	0
108	When you sober up, this is gonna be really funny to read back. It's like you let predictive text lead the whole post. 	0	0	0
110	No one leave their countries,friends and families on purpose to be a #refugees. being refugee is not optional.  #UNHCR break your silence.   Forgotten #refugees in   #Jakarta Indonesia.  @CNNIndonesia  @BBCBreaking   @UNHumanRights   @UNHCRIndo	0	0	0
111	We’d have forgotten if it wasn’t for Torygraph Jim.. He always remember	0	0	0
112	 @BorisJohnson: 'I met some brilliant police graduates with @patel4witham in Birmingham today. We're going to have 20,000 more police in the next three years, stopping violent crime & keeping communities safe.'    What else matters to you? Let Boris know - http://views.conservatives.com/priorities 	0	0	0
114	2 year extension? Looking at his tl and theres no mention of that. A retweet 5 hours ago that specifically mentions October 31st. Where did he say that?	0	0	0
115	Hindu-Muslim, India-Pakistan, same sex love story breaks all barriers. Internet is in love https://www.indiatoday.in/trending-news/story/hindu-muslim-india-pakistan-same-sex-love-story-breaks-all-barriers-internet-is-in-love-1575224-2019-07-30 … via @indiatoday	0	0	0
117	PM @BorisJohnson met @ScotGovFM Nicola Sturgeon in Edinburgh today.    The PM said he was a passionate believer in the power of the Union and that he would work tirelessly to improve lives of people across Scotland.	0	0	0
118	#JaiMamataViolence Mamata's days are http://numbered.One  by one she is after intellectuals.  First Doctors ,now Teachers next who ??	0	0	0
126	Hindu-Muslim, India-Pakistan, same sex love story breaks all barriers. Internet is in love https://www.indiatoday.in/trending-news/story/hindu-muslim-india-pakistan-same-sex-love-story-breaks-all-barriers-internet-is-in-love-1575224-2019-07-30 …	0	0	0
